action,price,timestamp,size,success
sell,1.15794,2017-11-07 17:00:00,1,True
sell,1.1584,2017-11-07 19:00:00,2,True
reduce_short,1.15829,2017-11-07 21:00:00,2,True
sell,1.15978,2017-11-07 23:00:00,2,True
reduce_short,1.15926,2017-11-08 02:00:00,1,True
sell,1.15955,2017-11-08 04:00:00,1,True
reduce_short,1.1589,2017-11-08 06:00:00,1,True
sell,1.15945,2017-11-08 11:00:00,1,True
reduce_short,1.15906,2017-11-08 17:00:00,2,True
sell,1.15923,2017-11-08 19:00:00,1,True
sell,1.15912,2017-11-08 21:00:00,1,True
reduce_short,1.1593,2017-11-09 04:00:00,1,True
sell,1.16024,2017-11-09 07:00:00,1,True
reduce_short,1.1645400000000001,2017-11-09 19:00:00,2,True
sell,1.1638,2017-11-09 21:00:00,2,True
reduce_short,1.16429,2017-11-10 01:00:00,1,True
sell,1.16445,2017-11-10 03:00:00,1,True
reduce_short,1.16428,2017-11-10 05:00:00,2,True
close_short,1.16358,2017-11-10 07:00:00,1,True
buy,1.1663,2017-11-10 09:00:00,3,True
close_long,1.16478,2017-11-10 12:00:00,3,True
buy,1.1667,2017-11-10 14:00:00,2,True
close_long,1.16561,2017-11-10 17:00:00,2,True
sell,1.16635,2017-11-10 19:00:00,2,True
close_short,1.16602,2017-11-10 21:00:00,2,True
buy,1.16639,2017-11-12 23:00:00,3,True
reduce_long,1.16525,2017-11-13 02:00:00,1,True
reduce_long,1.16514,2017-11-13 06:00:00,1,True
buy,1.1650099999999999,2017-11-13 08:00:00,2,True
reduce_long,1.16493,2017-11-13 10:00:00,2,True
close_long,1.16526,2017-11-13 16:00:00,1,True
sell,1.16618,2017-11-13 18:00:00,3,True
close_short,1.16714,2017-11-13 20:00:00,3,True
sell,1.16611,2017-11-13 22:00:00,3,True
reduce_short,1.1668,2017-11-14,2,True
sell,1.16694,2017-11-14 04:00:00,2,True
reduce_short,1.17067,2017-11-14 08:00:00,2,True
sell,1.17141,2017-11-14 10:00:00,2,True
close_short,1.1754799999999999,2017-11-14 12:00:00,3,True
sell,1.17524,2017-11-14 15:00:00,3,True
reduce_short,1.17912,2017-11-14 19:00:00,1,True
close_short,1.18008,2017-11-14 22:00:00,2,True
sell,1.17894,2017-11-15,2,True
sell,1.17895,2017-11-15 04:00:00,1,True
reduce_short,1.18355,2017-11-15 08:00:00,1,True
reduce_short,1.18431,2017-11-15 10:00:00,1,True
sell,1.18339,2017-11-15 12:00:00,1,True
sell,1.17945,2017-11-15 17:00:00,1,True
close_short,1.17724,2017-11-15 22:00:00,3,True
sell,1.1778,2017-11-16,1,True
close_short,1.17801,2017-11-16 04:00:00,1,True
sell,1.17968,2017-11-16 06:00:00,2,True
close_short,1.17676,2017-11-16 11:00:00,2,True
buy,1.1778199999999999,2017-11-16 13:00:00,2,True
reduce_long,1.17751,2017-11-16 16:00:00,1,True
close_long,1.17673,2017-11-16 20:00:00,1,True
sell,1.17676,2017-11-16 22:00:00,2,True
sell,1.1786400000000001,2017-11-17,1,True
close_short,1.18071,2017-11-17 04:00:00,3,True
buy,1.18152,2017-11-17 06:00:00,1,True
close_long,1.17836,2017-11-17 08:00:00,1,True
sell,1.17985,2017-11-17 10:00:00,3,True
reduce_short,1.17887,2017-11-17 12:00:00,1,True
reduce_short,1.17917,2017-11-17 14:00:00,1,True
sell,1.17945,2017-11-17 16:00:00,2,True
reduce_short,1.17314,2017-11-19 23:00:00,2,True
sell,1.17336,2017-11-20 02:00:00,1,True
reduce_short,1.17304,2017-11-20 05:00:00,1,True
sell,1.17517,2017-11-20 07:00:00,2,True
reduce_short,1.17451,2017-11-20 15:00:00,1,True
close_short,1.1750099999999999,2017-11-20 17:00:00,2,True
buy,1.1734799999999999,2017-11-20 19:00:00,3,True
reduce_long,1.17353,2017-11-20 21:00:00,2,True
close_long,1.174,2017-11-21,1,True
sell,1.1731800000000001,2017-11-21 02:00:00,3,True
reduce_short,1.1738600000000001,2017-11-21 05:00:00,2,True
sell,1.1733,2017-11-21 07:00:00,2,True
reduce_short,1.17341,2017-11-21 14:00:00,1,True
close_short,1.17491,2017-11-21 18:00:00,2,True
buy,1.17419,2017-11-21 20:00:00,2,True
buy,1.17446,2017-11-21 23:00:00,1,True
close_long,1.17358,2017-11-22 01:00:00,3,True
sell,1.17356,2017-11-22 03:00:00,2,True
