action,price,timestamp,size,success
close_short,1.23454,2022-05-09 10:00:00,3,True
buy,1.23935,2022-05-09 12:00:00,2,True
buy,1.23096,2022-05-09 14:00:00,1,True
reduce_long,1.23384,2022-05-09 17:00:00,1,True
close_long,1.2327000000000001,2022-05-09 19:00:00,2,True
sell,1.23235,2022-05-09 21:00:00,1,True
sell,1.2326300000000001,2022-05-10,2,True
close_short,1.2368299999999999,2022-05-10 05:00:00,3,True
buy,1.23209,2022-05-10 07:00:00,1,True
close_long,1.23451,2022-05-10 10:00:00,1,True
sell,1.23144,2022-05-10 12:00:00,1,True
sell,1.23055,2022-05-10 16:00:00,2,True
reduce_short,1.23081,2022-05-10 18:00:00,2,True
sell,1.23073,2022-05-10 20:00:00,2,True
reduce_short,1.23025,2022-05-10 23:00:00,1,True
close_short,1.23291,2022-05-11 01:00:00,2,True
sell,1.23264,2022-05-11 03:00:00,1,True
sell,1.23405,2022-05-11 07:00:00,2,True
reduce_short,1.23361,2022-05-11 10:00:00,2,True
sell,1.22834,2022-05-11 12:00:00,1,True
reduce_short,1.23106,2022-05-11 15:00:00,1,True
sell,1.2263600000000001,2022-05-11 17:00:00,1,True
reduce_short,1.22387,2022-05-11 19:00:00,1,True
close_short,1.22523,2022-05-11 21:00:00,1,True
sell,1.22291,2022-05-11 23:00:00,1,True
sell,1.22134,2022-05-12 02:00:00,1,True
sell,1.21973,2022-05-12 05:00:00,1,True
reduce_short,1.2202600000000001,2022-05-12 10:00:00,1,True
close_short,1.22312,2022-05-12 12:00:00,2,True
buy,1.22313,2022-05-12 14:00:00,2,True
close_long,1.21872,2022-05-12 16:00:00,2,True
sell,1.21707,2022-05-12 18:00:00,3,True
close_short,1.22013,2022-05-12 22:00:00,3,True
sell,1.2203,2022-05-13,1,True
sell,1.2212800000000001,2022-05-13 02:00:00,2,True
reduce_short,1.2212100000000001,2022-05-13 06:00:00,1,True
reduce_short,1.2194800000000001,2022-05-13 10:00:00,1,True
sell,1.22388,2022-05-13 15:00:00,1,True
sell,1.22232,2022-05-13 17:00:00,1,True
reduce_short,1.22383,2022-05-13 19:00:00,1,True
reduce_short,1.2254500000000002,2022-05-13 22:00:00,1,True
sell,1.2254500000000002,2022-05-14,2,True
close_short,1.22564,2022-05-15 22:00:00,3,True
sell,1.22651,2022-05-16,3,True
reduce_short,1.22315,2022-05-16 08:00:00,1,True
close_short,1.2322199999999999,2022-05-16 18:00:00,2,True
buy,1.23221,2022-05-16 20:00:00,1,True
close_long,1.2319,2022-05-16 22:00:00,1,True
buy,1.23331,2022-05-17,1,True
buy,1.234,2022-05-17 03:00:00,1,True
reduce_long,1.23516,2022-05-17 05:00:00,1,True
close_long,1.24716,2022-05-17 08:00:00,1,True
sell,1.2460900000000001,2022-05-17 10:00:00,1,True
sell,1.24841,2022-05-17 12:00:00,1,True
reduce_short,1.24763,2022-05-17 18:00:00,1,True
sell,1.2484300000000002,2022-05-17 20:00:00,2,True
close_short,1.24904,2022-05-18 01:00:00,3,True
buy,1.24726,2022-05-18 03:00:00,1,True
buy,1.24966,2022-05-18 05:00:00,2,True
close_long,1.24061,2022-05-18 09:00:00,3,True
sell,1.2415100000000001,2022-05-18 11:00:00,1,True
sell,1.24073,2022-05-18 14:00:00,2,True
reduce_short,1.23366,2022-05-18 19:00:00,2,True
close_short,1.23427,2022-05-18 21:00:00,1,True
sell,1.23397,2022-05-18 23:00:00,3,True
close_short,1.23721,2022-05-19 02:00:00,3,True
buy,1.23894,2022-05-19 04:00:00,3,True
reduce_long,1.23497,2022-05-19 06:00:00,2,True
close_long,1.23873,2022-05-19 08:00:00,1,True
buy,1.2428299999999999,2022-05-19 10:00:00,3,True
reduce_long,1.24916,2022-05-19 13:00:00,2,True
buy,1.2506599999999999,2022-05-19 15:00:00,1,True
close_long,1.25031,2022-05-19 17:00:00,2,True
sell,1.24908,2022-05-19 19:00:00,2,True
sell,1.24623,2022-05-19 22:00:00,1,True
reduce_short,1.24698,2022-05-20 05:00:00,1,True
sell,1.24698,2022-05-20 07:00:00,1,True
close_short,1.24816,2022-05-20 09:00:00,3,True
sell,1.24644,2022-05-20 11:00:00,1,True
sell,1.24847,2022-05-20 13:00:00,1,True
sell,1.24865,2022-05-20 15:00:00,1,True
reduce_short,1.24685,2022-05-20 17:00:00,1,True
close_short,1.2483199999999999,2022-05-20 22:00:00,2,True
sell,1.24752,2022-05-21,2,True
close_short,1.2483199999999999,2022-05-21 02:00:00,2,True
sell,1.24752,2022-05-21 04:00:00,2,True
sell,1.2499200000000001,2022-05-22 23:00:00,1,True
reduce_short,1.25293,2022-05-23 01:00:00,2,True
sell,1.25386,2022-05-23 03:00:00,2,True
reduce_short,1.25674,2022-05-23 08:00:00,1,True
