Gmt time,Open,High,Low,Close,Volume
01.04.2022 00:00:00.000,121.743,122.196,121.742,122.116,16341.6396
01.04.2022 01:00:00.000,122.116,122.375,122.072,122.334,12226.2803
01.04.2022 02:00:00.000,122.334,122.690,122.270,122.654,15554.0596
01.04.2022 03:00:00.000,122.654,122.733,122.578,122.627,12586.7197
01.04.2022 04:00:00.000,122.627,122.631,122.444,122.600,13186.6201
01.04.2022 05:00:00.000,122.600,122.652,122.335,122.392,7571.1699
01.04.2022 06:00:00.000,122.391,122.491,122.242,122.466,12952.9404
01.04.2022 07:00:00.000,122.465,122.645,122.425,122.629,17651.4004
01.04.2022 08:00:00.000,122.629,122.763,122.479,122.569,14408.6699
01.04.2022 09:00:00.000,122.568,122.569,122.357,122.454,13588.4902
01.04.2022 10:00:00.000,122.455,122.499,122.331,122.431,9325.3896
01.04.2022 11:00:00.000,122.423,122.497,122.384,122.452,8656.8096
01.04.2022 12:00:00.000,122.454,122.818,122.441,122.796,19185.9395
01.04.2022 13:00:00.000,122.795,122.998,122.616,122.940,17702.7305
01.04.2022 14:00:00.000,122.934,123.033,122.796,122.834,12236.8799
01.04.2022 15:00:00.000,122.836,122.940,122.549,122.598,8256.2305
01.04.2022 16:00:00.000,122.598,122.632,122.513,122.570,4544.3101
01.04.2022 17:00:00.000,122.567,122.594,122.476,122.571,5088.1299
01.04.2022 18:00:00.000,122.572,122.653,122.560,122.618,4528.3701
01.04.2022 19:00:00.000,122.619,122.619,122.460,122.538,4037.72
01.04.2022 20:00:00.000,122.537,122.577,122.441,122.477,2124.6299
03.04.2022 21:00:00.000,122.569,122.654,122.492,122.536,439.09
03.04.2022 22:00:00.000,122.546,122.729,122.546,122.659,6075.1802
03.04.2022 23:00:00.000,122.662,122.692,122.580,122.634,4199.8198
04.04.2022 00:00:00.000,122.632,122.632,122.262,122.401,13502.3496
04.04.2022 01:00:00.000,122.404,122.578,122.380,122.572,9618.6504
04.04.2022 02:00:00.000,122.570,122.702,122.562,122.651,6391.3901
04.04.2022 03:00:00.000,122.655,122.776,122.609,122.731,4821.9399
04.04.2022 04:00:00.000,122.730,122.758,122.565,122.591,6490.0098
04.04.2022 05:00:00.000,122.593,122.688,122.551,122.662,5622.1099
04.04.2022 06:00:00.000,122.665,122.798,122.627,122.643,9309.6396
04.04.2022 07:00:00.000,122.643,122.694,122.498,122.649,8994.8604
04.04.2022 08:00:00.000,122.649,122.649,122.508,122.627,9385.5195
04.04.2022 09:00:00.000,122.627,122.641,122.557,122.567,5730.0601
04.04.2022 10:00:00.000,122.567,122.835,122.566,122.807,5291.3101
04.04.2022 11:00:00.000,122.810,122.813,122.705,122.783,6769.1602
04.04.2022 12:00:00.000,122.783,122.787,122.601,122.633,8593.8398
04.04.2022 13:00:00.000,122.634,122.781,122.622,122.753,7979.5
04.04.2022 14:00:00.000,122.759,122.958,122.700,122.738,10946.1299
04.04.2022 15:00:00.000,122.735,122.782,122.670,122.721,4378.8101
04.04.2022 16:00:00.000,122.722,122.823,122.700,122.744,4062.9299
04.04.2022 17:00:00.000,122.744,122.792,122.677,122.788,3091.8501
04.04.2022 18:00:00.000,122.790,122.814,122.740,122.807,3435.9199
04.04.2022 19:00:00.000,122.804,122.835,122.754,122.763,2370.9399
04.04.2022 20:00:00.000,122.763,122.791,122.734,122.779,1888.37
04.04.2022 21:00:00.000,122.779,122.810,122.761,122.786,2883.5
04.04.2022 22:00:00.000,122.788,122.795,122.720,122.739,1703.45
04.04.2022 23:00:00.000,122.739,122.812,122.739,122.798,2355.8101
05.04.2022 00:00:00.000,122.796,122.860,122.370,122.562,18137.4707
05.04.2022 01:00:00.000,122.561,122.634,122.468,122.550,11680.54
05.04.2022 02:00:00.000,122.550,122.584,122.486,122.581,5741.98
05.04.2022 03:00:00.000,122.581,122.593,122.479,122.516,4890.0098
05.04.2022 04:00:00.000,122.516,122.616,122.487,122.545,8782.1299
05.04.2022 05:00:00.000,122.545,122.581,122.427,122.501,7673.8301
05.04.2022 06:00:00.000,122.502,122.597,122.489,122.581,8116.7998
05.04.2022 07:00:00.000,122.580,122.995,122.573,122.905,14331.1602
05.04.2022 08:00:00.000,122.905,122.951,122.786,122.823,9002.5898
05.04.2022 09:00:00.000,122.823,122.840,122.694,122.822,7387.3398
05.04.2022 10:00:00.000,122.821,122.985,122.819,122.892,8394.3799
05.04.2022 11:00:00.000,122.891,122.974,122.813,122.925,6316.6001
05.04.2022 12:00:00.000,122.925,123.001,122.786,122.832,8517.25
05.04.2022 13:00:00.000,122.831,122.885,122.748,122.840,9484.75
05.04.2022 14:00:00.000,122.837,123.443,122.800,123.303,21428.2695
05.04.2022 15:00:00.000,123.304,123.491,123.261,123.490,6586.96
05.04.2022 16:00:00.000,123.492,123.596,123.481,123.585,4084.74
05.04.2022 17:00:00.000,123.585,123.668,123.549,123.645,3425
05.04.2022 18:00:00.000,123.644,123.653,123.563,123.604,2897.26
05.04.2022 19:00:00.000,123.601,123.648,123.564,123.607,4418.1602
05.04.2022 20:00:00.000,123.607,123.642,123.582,123.596,1963.79
05.04.2022 21:00:00.000,123.581,123.608,123.533,123.591,1241.02
05.04.2022 22:00:00.000,123.591,123.683,123.569,123.606,4447.7402
05.04.2022 23:00:00.000,123.607,123.712,123.536,123.657,3963.8301
06.04.2022 00:00:00.000,123.656,123.889,123.575,123.828,12086.1104
06.04.2022 01:00:00.000,123.830,123.993,123.814,123.936,10753.3096
06.04.2022 02:00:00.000,123.936,124.050,123.643,123.888,12088.3203
06.04.2022 03:00:00.000,123.889,123.908,123.722,123.752,10156.2598
06.04.2022 04:00:00.000,123.752,123.925,123.740,123.881,6248.9302
06.04.2022 05:00:00.000,123.881,123.962,123.830,123.953,6787.8101
06.04.2022 06:00:00.000,123.952,124.001,123.880,123.930,10517.5
06.04.2022 07:00:00.000,123.928,124.026,123.832,123.881,12046.54
06.04.2022 08:00:00.000,123.881,123.967,123.730,123.787,10852.5195
06.04.2022 09:00:00.000,123.787,123.865,123.612,123.840,9747.6504
06.04.2022 10:00:00.000,123.840,123.996,123.829,123.957,8151.52
06.04.2022 11:00:00.000,123.958,123.981,123.858,123.869,7825.3101
06.04.2022 12:00:00.000,123.871,123.881,123.714,123.815,10255.54
06.04.2022 13:00:00.000,123.816,123.945,123.797,123.860,8404.6699
06.04.2022 14:00:00.000,123.860,123.917,123.710,123.764,9363.8096
06.04.2022 15:00:00.000,123.766,123.824,123.684,123.719,8039.4102
06.04.2022 16:00:00.000,123.720,123.800,123.704,123.746,3136.3
06.04.2022 17:00:00.000,123.747,123.830,123.734,123.791,3078.3
06.04.2022 18:00:00.000,123.792,123.930,123.452,123.771,19561.5605
06.04.2022 19:00:00.000,123.773,123.825,123.751,123.783,3522.8
06.04.2022 20:00:00.000,123.786,123.803,123.741,123.755,1953.09
06.04.2022 21:00:00.000,123.755,123.799,123.755,123.787,444.3
06.04.2022 22:00:00.000,123.788,123.934,123.762,123.860,3492.6001
06.04.2022 23:00:00.000,123.862,123.887,123.693,123.724,3034.95
07.04.2022 00:00:00.000,123.724,123.730,123.469,123.600,12007.0498
07.04.2022 01:00:00.000,123.600,123.733,123.583,123.623,9163.8701
07.04.2022 02:00:00.000,123.623,123.743,123.622,123.674,5686.3901
07.04.2022 03:00:00.000,123.675,123.747,123.665,123.704,4424.5
07.04.2022 04:00:00.000,123.703,123.708,123.613,123.685,4364.2798
07.04.2022 05:00:00.000,123.684,123.735,123.634,123.652,5769.9502
07.04.2022 06:00:00.000,123.653,123.844,123.589,123.843,7956.2798
07.04.2022 07:00:00.000,123.834,123.837,123.738,123.764,8206.5996
07.04.2022 08:00:00.000,123.763,123.780,123.608,123.737,9971.4297
07.04.2022 09:00:00.000,123.738,123.769,123.665,123.718,7607.6899
07.04.2022 10:00:00.000,123.718,123.864,123.688,123.815,6092
07.04.2022 11:00:00.000,123.816,123.954,123.806,123.940,13691.79
07.04.2022 12:00:00.000,123.939,123.997,123.917,123.984,8850
